date,rate,yearsToMaturity
24/07/2024,4.324,0.5
24/07/2024,4.082,1
24/07/2024,4.75,0.002739726
23/07/2024,4.41,0.5
23/07/2024,4.174,1
23/07/2024,4.75,0.002739726
22/07/2024,4.421,0.5
22/07/2024,4.199,1
22/07/2024,4.75,0.002739726
19/07/2024,4.414,0.5
19/07/2024,4.186,1
19/07/2024,4.75,0.002739726
18/07/2024,4.428,0.5
18/07/2024,4.189,1
18/07/2024,4.75,0.002739726
17/07/2024,4.412,0.5
17/07/2024,4.17,1
17/07/2024,4.75,0.002739726
16/07/2024,4.401,0.5
16/07/2024,4.157,1
16/07/2024,4.75,0.002739726
15/07/2024,4.422,0.5
15/07/2024,4.177,1
15/07/2024,4.75,0.002739726
12/07/2024,4.448,0.5
12/07/2024,4.212,1
12/07/2024,4.75,0.002739726
11/07/2024,4.477,0.5
11/07/2024,4.246,1
11/07/2024,4.75,0.002739726
10/07/2024,4.497,0.5
10/07/2024,4.29,1
10/07/2024,4.75,0.002739726
09/07/2024,4.506,0.5
09/07/2024,4.301,1
09/07/2024,4.75,0.002739726
08/07/2024,4.517,0.5
08/07/2024,4.318,1
08/07/2024,4.75,0.002739726
05/07/2024,4.523,0.5
05/07/2024,4.324,1
05/07/2024,4.75,0.002739726
04/07/2024,4.577,0.5
04/07/2024,4.402,1
04/07/2024,4.75,0.002739726
03/07/2024,4.585,0.5
03/07/2024,4.407,1
03/07/2024,4.75,0.002739726
02/07/2024,4.597,0.5
02/07/2024,4.422,1
02/07/2024,4.75,0.002739726
